,dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
2469732,1818-07-01,27.287,2.733,Gandhinagar,India,23.31N,72.52E
2469733,1818-08-01,26.211,1.666,Gandhinagar,India,23.31N,72.52E
2469734,1818-09-01,26.292,1.818,Gandhinagar,India,23.31N,72.52E
2469735,1818-10-01,25.113000000000003,2.11,Gandhinagar,India,23.31N,72.52E
2469736,1818-11-01,23.317,4.188,Gandhinagar,India,23.31N,72.52E
2469737,1818-12-01,19.49,1.737,Gandhinagar,India,23.31N,72.52E
2469738,1819-01-01,17.305,2.314,Gandhinagar,India,23.31N,72.52E
2469739,1819-02-01,20.274,2.8680000000000003,Gandhinagar,India,23.31N,72.52E
2469740,1819-03-01,24.308000000000003,5.26,Gandhinagar,India,23.31N,72.52E
2469741,1819-04-01,29.16,1.661,Gandhinagar,India,23.31N,72.52E
2469742,1819-05-01,31.799000000000003,1.401,Gandhinagar,India,23.31N,72.52E
2469743,1819-06-01,31.004,1.72,Gandhinagar,India,23.31N,72.52E
2469744,1819-07-01,27.618,1.414,Gandhinagar,India,23.31N,72.52E
2469745,1819-08-01,26.406,1.571,Gandhinagar,India,23.31N,72.52E
2469746,1819-09-01,26.76,1.229,Gandhinagar,India,23.31N,72.52E
2469747,1819-10-01,26.759,1.769,Gandhinagar,India,23.31N,72.52E
2469748,1819-11-01,23.704,1.716,Gandhinagar,India,23.31N,72.52E
2469749,1819-12-01,19.214,1.625,Gandhinagar,India,23.31N,72.52E
2469750,1820-01-01,17.422,4.273,Gandhinagar,India,23.31N,72.52E
2469751,1820-02-01,20.31,1.945,Gandhinagar,India,23.31N,72.52E
2469752,1820-03-01,25.332,2.008,Gandhinagar,India,23.31N,72.52E
2469753,1820-04-01,30.928,1.487,Gandhinagar,India,23.31N,72.52E
2469754,1820-05-01,32.474000000000004,1.486,Gandhinagar,India,23.31N,72.52E
2469755,1820-06-01,31.139,1.4409999999999998,Gandhinagar,India,23.31N,72.52E
2469756,1820-07-01,27.727,2.42,Gandhinagar,India,23.31N,72.52E
2469757,1820-08-01,25.89,2.124,Gandhinagar,India,23.31N,72.52E
2469758,1820-09-01,26.943,1.739,Gandhinagar,India,23.31N,72.52E
2469759,1820-10-01,25.919,1.519,Gandhinagar,India,23.31N,72.52E
2469760,1820-11-01,23.118,1.594,Gandhinagar,India,23.31N,72.52E
2469761,1820-12-01,19.063,1.97,Gandhinagar,India,23.31N,72.52E
2469762,1821-01-01,19.983,2.713,Gandhinagar,India,23.31N,72.52E
2469763,1821-02-01,22.360000000000007,3.383,Gandhinagar,India,23.31N,72.52E
2469764,1821-03-01,26.519,1.958,Gandhinagar,India,23.31N,72.52E
2469765,1821-04-01,29.565,1.607,Gandhinagar,India,23.31N,72.52E
2469766,1821-05-01,32.846000000000004,1.679,Gandhinagar,India,23.31N,72.52E
2469767,1821-06-01,31.087,2.374,Gandhinagar,India,23.31N,72.52E
2469768,1821-07-01,27.761,1.824,Gandhinagar,India,23.31N,72.52E
2469769,1821-08-01,26.906,1.579,Gandhinagar,India,23.31N,72.52E
2469770,1821-09-01,26.123,1.414,Gandhinagar,India,23.31N,72.52E
2469771,1821-10-01,26.369,1.42,Gandhinagar,India,23.31N,72.52E
2469772,1821-11-01,24.157,2.319,Gandhinagar,India,23.31N,72.52E
2469773,1821-12-01,20.089,1.645,Gandhinagar,India,23.31N,72.52E
2469774,1822-01-01,19.905,2.72,Gandhinagar,India,23.31N,72.52E
2469775,1822-02-01,23.061,2.185,Gandhinagar,India,23.31N,72.52E
2469776,1822-03-01,28.304,1.897,Gandhinagar,India,23.31N,72.52E
2469777,1822-04-01,30.290000000000006,1.5930000000000002,Gandhinagar,India,23.31N,72.52E
2469778,1822-05-01,32.53,1.455,Gandhinagar,India,23.31N,72.52E
2469779,1822-06-01,31.202,1.534,Gandhinagar,India,23.31N,72.52E
2469780,1822-07-01,28.49,1.39,Gandhinagar,India,23.31N,72.52E
2469781,1822-08-01,26.482,2.07,Gandhinagar,India,23.31N,72.52E
2469782,1822-09-01,26.484,1.704,Gandhinagar,India,23.31N,72.52E
2469783,1822-10-01,25.732,1.456,Gandhinagar,India,23.31N,72.52E
2469784,1822-11-01,23.003,1.788,Gandhinagar,India,23.31N,72.52E
2469785,1822-12-01,18.942,2.195,Gandhinagar,India,23.31N,72.52E
2469786,1823-01-01,19.266,1.786,Gandhinagar,India,23.31N,72.52E
2469787,1823-02-01,21.411,2.44,Gandhinagar,India,23.31N,72.52E
2469788,1823-03-01,26.131,1.856,Gandhinagar,India,23.31N,72.52E
2469789,1823-04-01,30.463,2.324,Gandhinagar,India,23.31N,72.52E
2469790,1823-05-01,32.517,1.5,Gandhinagar,India,23.31N,72.52E
2469791,1823-06-01,32.17,2.065,Gandhinagar,India,23.31N,72.52E
2469792,1823-07-01,28.631,1.497,Gandhinagar,India,23.31N,72.52E
2469793,1823-08-01,26.567,1.463,Gandhinagar,India,23.31N,72.52E
2469794,1823-09-01,25.907,1.396,Gandhinagar,India,23.31N,72.52E
2469795,1823-10-01,26.098000000000003,1.76,Gandhinagar,India,23.31N,72.52E
2469796,1823-11-01,23.042,2.892,Gandhinagar,India,23.31N,72.52E
2469797,1823-12-01,20.182,1.796,Gandhinagar,India,23.31N,72.52E
2469798,1824-01-01,19.839,1.67,Gandhinagar,India,23.31N,72.52E
2469799,1824-02-01,21.688,2.509,Gandhinagar,India,23.31N,72.52E
2469800,1824-03-01,26.406,1.913,Gandhinagar,India,23.31N,72.52E
2469801,1824-04-01,30.559,2.198,Gandhinagar,India,23.31N,72.52E
2469802,1824-05-01,32.728,1.612,Gandhinagar,India,23.31N,72.52E
2469803,1824-06-01,32.005,2.523,Gandhinagar,India,23.31N,72.52E
2469804,1824-07-01,29.722,2.952,Gandhinagar,India,23.31N,72.52E
2469805,1824-08-01,27.184,1.717,Gandhinagar,India,23.31N,72.52E
2469806,1824-09-01,27.702,1.7,Gandhinagar,India,23.31N,72.52E
2469807,1824-10-01,26.013,1.744,Gandhinagar,India,23.31N,72.52E
2469808,1824-11-01,24.259,1.916,Gandhinagar,India,23.31N,72.52E
2469809,1824-12-01,22.008000000000003,2.568,Gandhinagar,India,23.31N,72.52E
2469810,1825-01-01,20.035,2.463,Gandhinagar,India,23.31N,72.52E
2469811,1825-02-01,21.963,1.883,Gandhinagar,India,23.31N,72.52E
2469812,1825-03-01,26.329,2.28,Gandhinagar,India,23.31N,72.52E
2469813,1825-04-01,31.077,2.34,Gandhinagar,India,23.31N,72.52E
2469814,1825-05-01,32.648,1.4340000000000002,Gandhinagar,India,23.31N,72.52E
2469815,1825-06-01,31.963,1.4,Gandhinagar,India,23.31N,72.52E
2469816,1825-07-01,28.61,2.214,Gandhinagar,India,23.31N,72.52E
2469817,1825-08-01,26.655,2.007,Gandhinagar,India,23.31N,72.52E
2469818,1825-09-01,26.895,1.712,Gandhinagar,India,23.31N,72.52E
2469819,1825-10-01,26.305,1.901,Gandhinagar,India,23.31N,72.52E
2469820,1825-11-01,24.731,1.972,Gandhinagar,India,23.31N,72.52E
